RunNo,  Type,  MeanStopped,  MeanWaitingTime,  MeanAverageSpeed,  MeanAverageSpeed2,  MeanAverageSpeedCrossCheck,  MeanAverageCO2EmissionTL,  MeanAverageCOEmissionTL,  MeanAverageFuelConsumptionTL,  MeanAverageNoiseEmissionTL,  MeanAverageCO2Emission,  MeanAverageCOEmission,  MeanAverageFuelConsumption,  MeanAverageNoiseEmission,  
1,  testing,4.731,71.717,0.39,7.24,8.254,3146.345,91.558,1.353,60.894,2580.371,63.636,1.109,61.413,  
2,  testing,6.636,448.492,0.343,6.366,7.669,3064.653,100.202,1.317,60.291,2610.362,71.21,1.122,61.021,  
3,  testing,4.206,58.744,0.407,7.558,8.51,3174.274,89,1.365,61.111,2600.513,61.156,1.118,61.593,  
4,  testing,6.295,428.238,0.354,6.585,7.832,3094.231,98.956,1.33,60.44,2594.741,69.529,1.115,61.128,  
5,  testing,6.74,447.595,0.342,6.354,7.63,3071.425,100.509,1.32,60.279,2579.496,71.386,1.109,60.997,  
,min,4.206,58.744,0.342,6.354,7.63,3064.653,89,1.317,60.279,2579.496,61.156,1.109,60.997,
,max,6.74,448.492,0.407,7.558,8.51,3174.274,100.509,1.365,61.111,2610.362,71.386,1.122,61.593,
,average,5.7216,290.9572,0.3672,6.8206,7.979,3110.1856,96.045,1.337,60.603,2593.0966,67.3834,1.1146,61.2304,
,std,1.04693698,184.4927463,0.026452977,0.489803879,0.345570832,42.99994479,4.805144327,0.018857359,0.338122463,11.85511108,4.197398985,0.005083306,0.233936402,
1,  baseline,54.682,1248.799,0.073,1.36,2.349,2611.666,142.817,1.123,56.786,2537.533,128.979,1.091,57.427,  
2,  baseline,52.906,1207.993,0.074,1.379,2.388,2612.358,142.704,1.123,56.796,2536.371,128.592,1.09,57.45,  
3,  baseline,52.786,1205.129,0.075,1.395,2.406,2614.323,142.548,1.124,56.806,2538.593,128.405,1.091,57.462,  
4,  baseline,54.069,1234.775,0.073,1.366,2.361,2610.827,142.725,1.122,56.781,2536.32,128.824,1.09,57.427,  
5,  baseline,53.465,1221.087,0.074,1.383,2.385,2612.689,142.596,1.123,56.796,2537.015,128.566,1.091,57.445,  
,min,52.786,1205.129,0.073,1.36,2.349,2610.827,142.548,1.122,56.781,2536.32,128.405,1.09,57.427,
,max,54.682,1248.799,0.075,1.395,2.406,2614.323,142.817,1.124,56.806,2538.593,128.979,1.091,57.462,
,average,53.5816,1223.5566,0.0738,1.3766,2.3778,2612.3726,142.678,1.123,56.793,2537.1664,128.6732,1.0906,57.4422,
,std,0.714345743,16.43734934,0.000748331,0.012435433,0.020311573,1.16555096,0.095739229,0.000632456,0.008717798,0.841612642,0.203111201,0.000489898,0.013585286,
