RunNo,  Type,  MeanStopped,  MeanWaitingTime,  MeanAverageSpeed,  MeanAverageSpeed2,  MeanAverageSpeedCrossCheck,  MeanAverageCO2EmissionTL,  MeanAverageCOEmissionTL,  MeanAverageFuelConsumptionTL,  MeanAverageNoiseEmissionTL,  MeanAverageCO2Emission,  MeanAverageCOEmission,  MeanAverageFuelConsumption,  MeanAverageNoiseEmission,  
1,  testing,  6.804,  123.455,  0.376,  6.957,  8.080,  3124.885,  94.032,  1.343,  60.724,  2562.740,  65.315,  1.102,  61.287,  
2,  testing,  8.434,  461.958,  0.345,  6.402,  7.689,  3080.424,  99.518,  1.324,  60.346,  2581.976,  70.273,  1.110,  61.045,  
3,  testing,  5.998,  83.991,  0.388,  7.212,  8.281,  3145.091,  91.308,  1.352,  60.878,  2584.995,  62.990,  1.111,  61.429,  
4,  testing,  8.420,  428.234,  0.348,  6.469,  7.749,  3101.245,  99.682,  1.333,  60.399,  2568.726,  69.748,  1.104,  61.088,  
5,  testing,  8.275,  502.647,  0.351,  6.515,  7.786,  3104.535,  99.452,  1.335,  60.432,  2570.316,  69.519,  1.105,  61.117,  
,min
,max
,average

1,  baseline,  128.991,  2951.393,  0.040,  0.747,  1.338,  2551.239,  147.510,  1.097,  56.354,  2513.393,  139.499,  1.080,  56.739,  
2,  baseline,  127.944,  2929.583,  0.040,  0.751,  1.344,  2551.765,  147.447,  1.097,  56.355,  2513.477,  139.408,  1.081,  56.740,  
3,  baseline,  124.038,  2837.818,  0.042,  0.774,  1.384,  2553.986,  147.277,  1.098,  56.375,  2515.079,  139.017,  1.081,  56.771,  
4,  baseline,  127.340,  2913.536,  0.041,  0.757,  1.354,  2551.715,  147.412,  1.097,  56.362,  2513.739,  139.316,  1.081,  56.750,  
5,  baseline,  126.968,  2905.259,  0.041,  0.759,  1.359,  2552.459,  147.411,  1.097,  56.362,  2513.814,  139.281,  1.081,  56.752,  
,min
,max
,average
