RunNo,  Type,  MeanStopped,  MeanWaitingTime,  MeanSpeed,  MeanSpeed2,  MeanSpeedCrossCheck,  MeanCO2EmissionTL,  MeanCOEmissionTL,  MeanFuelConsumptionTL,  MeanNoiseEmissionTL,  MeanCO2Emission,  MeanCOEmission,  MeanFuelConsumption,  MeanNoiseEmission,
1,  testing,7.954,454.579,0.356,6.605,7.831,3092.796,97.655,1.329,60.468,2550.93,68.263,1.097,61.117,  
2,  testing,5.916,77.015,0.394,7.308,8.336,3146.834,90.654,1.353,60.945,2558.673,62.313,1.1,61.469,  
3,  testing,7.732,118.019,0.353,6.549,7.807,3105.257,97.701,1.335,60.438,2564.421,68.407,1.102,61.13,  
4,  testing,8.155,440.137,0.348,6.457,7.718,3074.571,98.667,1.322,60.379,2565.309,69.465,1.103,61.066,  
5,  testing,7.547,119.835,0.358,6.628,7.886,3112.614,97.434,1.338,60.548,2570.807,67.866,1.105,61.214,  
,,,,,,,,,,,,,,,
,min,5.916,77.015,0.348,6.457,7.718,3074.571,90.654,1.322,60.379,2550.93,62.313,1.097,61.066,
,max,8.155,454.579,0.394,7.308,8.336,3146.834,98.667,1.353,60.945,2570.807,69.465,1.105,61.469,
,average,7.4608,241.917,0.3618,6.7094,7.9156,3106.4144,96.4222,1.3354,60.5556,2562.028,67.2628,1.1014,61.1992,
,std,0.799067807,168.5014501,0.016448708,0.305051209,0.217075655,23.97073892,2.915137143,0.010365327,0.202178733,6.752538486,2.530756756,0.002727636,0.143037617,  
,,,,,,,,,,,,,,,  
1,  baseline,144.193,3244.033,0.038,0.7,1.254,2538.971,147.459,1.091,56.327,2503.803,140.003,1.076,56.693,  
2,  baseline,144.034,3240.569,0.038,0.709,1.265,2540.032,147.373,1.092,56.333,2503.629,139.877,1.076,56.699,  
3,  baseline,144.046,3240.911,0.038,0.709,1.265,2540.131,147.381,1.092,56.335,2504.372,139.894,1.077,56.701,  
4,  baseline,143.948,3238.428,0.038,0.71,1.265,2540.098,147.373,1.092,56.334,2504.01,139.877,1.076,56.7,
5,  baseline,143.98,3239.376,0.038,0.699,1.254,2538.882,147.46,1.091,56.326,2503.879,140,1.076,56.692,
,min,143.948,3238.428,0.038,0.699,1.254,2538.882,147.373,1.091,56.326,2503.629,139.877,1.076,56.692,
,max,144.193,3244.033,0.038,0.71,1.265,2540.131,147.46,1.092,56.335,2504.372,140.003,1.077,56.701,
,average,144.0402,3240.6634,0.038,0.7054,1.2606,2539.6228,147.4092,1.0916,56.331,2503.9386,139.9302,1.0762,56.697,
,std,0.084314649,1.901516931,0,0.004841487,0.005388877,0.570114866,0.04117475,0.000489898,0.003741657,0.249289069,0.058553907,0.0004,0.003741657,
